BJD RV1 E_RV1 RV2 E_RV2 FLAG EXPTIME
7319.167661 65.5 0.7 -85.30000000000001 1.9313207915827966 0 2400.0
7676.177014 -39.3 1.5 158.0 2.2671568097509267 0 2400.0
7760.99193 18.4 1.6 100.80000000000001 15.781318069160129 1 1200.0
7761.138395 -34.0 1.0 128.0 2.879236009777594 2 1800.0
7762.010052 -26.4 0.8 160.79999999999998 2.7202941017470885 0 1393.0
7762.155933 -16.6 1.0 133.0 2.6 0 1800.0
7762.984112 -22.9 0.7 154.79999999999998 3.3734255586865998 0 1800.0
7790.937987 67.3 1.0 -69.10000000000001 1.8027756377319946 0 1800.0
7861.864535 3.5 0.8 214.3 19.616319736382767 1 1200.0
7862.886516 63.6 0.7 -91.80000000000001 2.3086792761230392 0 1800.0
7863.884667 79.7 0.8 -101.89999999999999 2.340939982143925 0 1800.0
7879.851154 -14.8 0.6 115.7 1.6155494421403511 0 1601.0
7978.31959 15.8 1.7 -130.2 8.864536084872123 1 1319.0
7979.307161 -30.5 1.0 141.3 3.640054944640259 0 561.0
7994.278648 62.6 0.9 -50.800000000000004 2.193171219946131 0 1800.0
7994.302272 62.2 1.0 -70.49999999999999 3.640054944640259 0 1800.0
7995.250407 80.6 1.3 -108.0 3.269556544854363 0 1800.0
7995.273314 81.5 1.0 -116.30000000000001 2.879236009777594 0 1800.0
7995.296094 85.1 1.1 -98.0 1.94164878389476 0 1800.0
8044.16585 78.8 0.8 -102.39999999999999 1.2041594578792296 0 1800.0
8044.189544 76.4 1.0 -116.79999999999998 1.8027756377319946 0 1790.0
8044.215044 85.1 1.1 -109.5 1.6278820596099708 0 1800.0
8044.237985 78.9 1.0 -115.19999999999999 1.7204650534085253 0 1800.0
8044.259914 82.3 1.0 -112.10000000000001 1.6401219466856727 0 1439.0
8045.166104 75.4 0.8 -90.1 1.4422205101855958 0 1800.0
8045.189185 64.7 1.0 -81.60000000000001 1.5620499351813308 0 1800.0
8045.21186 56.1 1.0 -64.9 1.6401219466856727 0 1800.0
8045.234177 52.3 0.8 -38.10000000000001 1.8788294228055935 0 1800.0
8045.252622 49.4 0.8 -16.1 3.2015621187164247 0 959.0
8071.107982 1.7 1.1 -90.6 2.9154759474226504 1 1800.0
8071.132011 4.4 0.7 92.80000000000001 4.356604182158392 0 1800.0
8071.155404 -13.3 0.2 102.2 1.7117242768623688 0 1800.0
8071.178484 -20.1 0.5 124.20000000000002 1.392838827718412 0 1800.0
8071.202212 -20.2 0.4 139.60000000000002 1.4560219778561034 0 1800.0
8071.225998 -31.8 0.7 148.39999999999998 1.47648230602334 0 1800.0
8071.248673 -33.5 0.6 159.2 1.6155494421403511 0 1800.0
8091.083233 -30.4 0.9 158.2 1.7492855684535902 0 1200.0
8091.103534 -23.7 1.0 152.20000000000002 1.7204650534085253 0 1800.0
8091.178826 -1.4 1.4 104.5 2.692582403567252 0 978.0
8092.087344 19.0 1.2 103.1 14.748898263938225 1 1500.0
8092.108802 22.9 1.2 115.30000000000001 12.756566936288149 1 1800.0
8092.134115 32.4 1.2 -119.4 9.079647570252934 1 1800.0
8092.16054 43.1 1.0 -218.70000000000002 999.0005005003751 1 1800.0
8092.209279 61.4 1.0 -64.80000000000001 2.0591260281974 0 1800.0
8092.233088 67.8 1.4 -82.39999999999999 3.0413812651491097 0 1800.0
8093.017192 43.0 1.0 -102.69999999999999 12.240914998479484 1 1800.0
8093.041602 51.1 1.1 -41.49999999999999 2.195449840010015 0 1800.0
8096.159547 -31.1 0.6 168.5 2.280350850198276 0 1800.0
8096.182777 -36.2 0.8 165.7 3.298484500494129 0 1800.0
8096.200265 -32.0 0.9 174.0 1.9235384061671343 0 750.0
8097.052699 -32.2 0.6 165.3 2.08806130178211 0 1800.0
8097.077422 -38.2 0.6 159.10000000000002 2.1840329667841556 0 1800.0
8097.158812 -14.3 0.8 125.10000000000001 1.969771560359221 0 1800.0
8097.181196 -15.4 0.8 101.8 1.7 0 1800.0
8097.205641 -2.1 1.3 80.80000000000001 2.3021728866442674 0 1800.0
8097.228859 3.9 0.7 74.4 8.32946576918352 2 1800.0
8156.031633 58.4 0.9 -45.699999999999996 1.7492855684535902 0 1800.0
8156.054143 48.0 0.8 -34.099999999999994 2.5298221281347035 0 1800.0
8156.076572 37.0 1.0 41.9 999.0005005003751 1 1800.0
8156.099024 30.8 0.7 -112.39999999999999 9.226592003551472 1 1800.0
8218.906952 -14.2 1.0 107.89999999999999 2.785677655436824 0 1800.0
8218.926904 -19.6 0.9 125.1 2.9410882339705484 0 1200.0
8219.882333 -34.4 0.9 170.9 2.012461179749811 0 1800.0
8219.905121 -27.5 0.9 175.8 2.2847319317591728 0 1800.0
8219.927757 -28.6 0.7 166.1 2.3086792761230392 0 1800.0
