# BJD FLUX E_FLUX MAG E_MAG FLAG
8468.287023 1.001877 0.001659 -0.002036 0.001798 0
8468.307836 0.970970 0.001642 0.031985 0.001836 0
8468.328649 0.855411 0.001584 0.169562 0.002010 0
8468.349523 0.826677 0.001570 0.206660 0.002061 0
8468.370336 0.933829 0.001624 0.074332 0.001888 0
8468.391149 0.854111 0.001586 0.171215 0.002016 1
8468.412023 0.998329 0.001657 0.001815 0.001802 0
8468.432836 0.997605 0.001657 0.002604 0.001804 0
8468.453649 1.002162 0.001658 -0.002344 0.001796 0
8468.474524 1.003623 0.001659 -0.003927 0.001794 0
8468.495337 1.001536 0.001659 -0.001666 0.001798 0
8468.516150 0.999930 0.001660 0.000076 0.001802 0
8468.537024 0.993112 0.001653 0.007505 0.001808 0
8468.557837 0.992344 0.001654 0.008344 0.001809 0
8468.578650 0.985596 0.001651 0.015752 0.001818 0
8468.599524 0.983604 0.001650 0.017949 0.001821 0
8468.620337 0.980004 0.001647 0.021930 0.001825 0
8468.641150 0.972201 0.001644 0.030609 0.001836 0
8468.662024 0.966888 0.001640 0.036559 0.001842 0
8468.682837 0.959086 0.001636 0.045356 0.001851 0
8468.703650 0.949901 0.001633 0.055805 0.001866 0
8468.724524 0.943704 0.001627 0.062910 0.001872 0
8468.745337 0.843976 0.001576 0.184174 0.002027 0
8468.766150 0.677648 0.001484 0.422490 0.002378 0
8468.787024 0.737787 0.001518 0.330173 0.002234 0
8468.807837 0.910882 0.001612 0.101344 0.001922 0
8468.828650 0.948119 0.001629 0.057843 0.001865 0
8468.849524 0.957348 0.001633 0.047325 0.001852 0
8468.870337 0.962527 0.001636 0.041467 0.001846 0
8468.891150 0.967592 0.001640 0.035770 0.001840 0
8468.912024 0.975681 0.001643 0.026730 0.001828 0
8468.932837 0.981929 0.001649 0.019800 0.001823 0
8468.953650 0.985710 0.001646 0.015627 0.001813 1
8468.974524 0.987828 0.001648 0.013296 0.001811 0
8468.995337 0.989785 0.001654 0.011148 0.001814 0
8469.016150 0.995853 0.001651 0.004512 0.001800 0
8469.037024 0.996681 0.001650 0.003609 0.001798 0
8469.057837 0.996345 0.001651 0.003975 0.001799 0
8469.078650 1.011181 0.001660 -0.012073 0.001782 1
8469.099524 0.998053 0.001651 0.002116 0.001796 0
8469.120398 0.991224 0.001649 0.009571 0.001806 0
8469.141212 0.995312 0.001650 0.005102 0.001800 0
8469.162025 0.981792 0.001644 0.019951 0.001818 0
8469.182899 0.880202 0.001590 0.138544 0.001961 0
8469.203712 0.822533 0.001559 0.212117 0.002058 0
8469.224525 0.900636 0.001602 0.113627 0.001932 0
8469.245399 0.991574 0.001649 0.009187 0.001805 0
8469.266212 0.997693 0.001649 0.002508 0.001794 0
8469.287025 0.995855 0.001651 0.004509 0.001800 0
8469.307899 1.002797 0.001649 -0.003032 0.001786 0
8469.328712 1.004748 0.001651 -0.005143 0.001784 0
8469.349525 1.003377 0.001651 -0.003661 0.001786 0
8469.370399 1.003100 0.001651 -0.003360 0.001787 0
8469.391212 1.003556 0.001649 -0.003854 0.001784 0
8469.412025 0.994294 0.001647 0.006213 0.001798 0
8469.432899 0.993573 0.001646 0.007001 0.001798 0
8469.453713 0.990422 0.001643 0.010449 0.001801 0
8469.474526 0.986112 0.001641 0.015184 0.001807 0
8469.495400 0.979939 0.001638 0.022003 0.001814 0
8469.516213 0.975531 0.001636 0.026897 0.001821 0
8469.537026 0.965559 0.001629 0.038053 0.001832 0
8469.557900 0.959028 0.001625 0.045421 0.001840 0
8469.578713 0.952126 0.001623 0.053264 0.001850 0
8469.599526 0.886546 0.001590 0.130747 0.001947 0
8469.620400 0.705055 0.001492 0.379443 0.002298 0
8469.641213 0.702535 0.001490 0.383330 0.002303 0
8469.662026 0.884314 0.001586 0.133484 0.001947 0
8469.682900 0.954996 0.001623 0.049996 0.001845 0
8469.703713 0.960547 0.001626 0.043704 0.001838 0
8469.724526 0.963097 0.001627 0.040825 0.001834 0
8469.745400 0.972771 0.001632 0.029974 0.001822 0
8469.766213 0.982465 0.001636 0.019207 0.001808 0
8469.787026 0.985123 0.001639 0.016274 0.001807 0
8469.807900 0.993380 0.001642 0.007212 0.001794 0
8469.828713 0.995262 0.001642 0.005157 0.001791 0
8469.849526 0.995811 0.001642 0.004557 0.001791 0
8469.870400 0.996994 0.001645 0.003269 0.001792 0
8469.891213 0.996713 0.001645 0.003574 0.001792 0
8469.912026 1.002630 0.001647 -0.002852 0.001783 0
8469.932901 0.998755 0.001644 0.001352 0.001788 0
8469.953714 1.002863 0.001646 -0.003104 0.001782 0
8469.974527 1.002185 0.001645 -0.002370 0.001782 0
8469.995401 0.999354 0.001645 0.000701 0.001787 0
8470.016214 0.995802 0.001642 0.004567 0.001790 0
8470.037027 0.912226 0.001600 0.099744 0.001904 0
8470.057901 0.826914 0.001556 0.206349 0.002043 0
8470.078714 0.875538 0.001580 0.144313 0.001959 0
8470.099527 0.984789 0.001637 0.016642 0.001805 0
8470.120401 0.999324 0.001643 0.000734 0.001785 0
8470.141214 1.001298 0.001645 -0.001408 0.001783 0
8470.162027 1.002985 0.001645 -0.003236 0.001781 0
8470.182901 1.002048 0.001645 -0.002221 0.001782 0
8470.203714 1.003683 0.001646 -0.003991 0.001780 0
8470.224527 1.003080 0.001645 -0.003339 0.001781 0
8470.245402 1.004786 0.001645 -0.005184 0.001778 0
8470.266215 1.000829 0.001644 -0.000900 0.001784 0
8470.287028 0.995157 0.001642 0.005271 0.001791 0
8470.307902 0.993727 0.001640 0.006832 0.001791 0
8470.328715 0.983745 0.001635 0.017793 0.001805 0
8470.349528 0.976856 0.001631 0.025424 0.001813 0
8470.370402 0.972518 0.001630 0.030256 0.001820 0
8470.391215 0.968364 0.001626 0.034903 0.001823 0
8470.412028 0.961586 0.001624 0.042529 0.001834 0
8470.432902 0.956083 0.001620 0.048761 0.001840 0
8470.453715 0.921356 0.001603 0.088931 0.001889 0
8470.474528 0.741139 0.001508 0.325250 0.002209 0
8470.495403 0.675467 0.001473 0.425990 0.002368 0
8470.516216 0.842835 0.001562 0.185644 0.002012 0
8470.537029 0.951416 0.001618 0.054074 0.001847 0
8470.557903 0.959038 0.001623 0.045410 0.001837 0
8470.578716 0.962569 0.001623 0.041421 0.001831 0
